imdb_id,story,summary,tagline,actors,wins_nominations,release_date
tt0097143,Pooja has been brought up by her grandparents  and has no recollection of her mom and dad. She is told by her grandpa  Kantaprasad  that her dad had passed away. Years later  Pooja has now grown up. She starts getting mysterious phone calls from a male who merely says "I love you"  and hangs-up. When her grandpa has these phone calls traced  the caller is Anand  Pooja's dad. Kantaprasad has him beaten up  and warns him against contacting Pooja again. When Pooja is being molested by a male in her apartment building  Anand comes to her rescue  and it is then Pooja comes to know that this shabby  alcoholic man is her dad. Will Pooja accept him  or will she follow her grandpa's advise and continue on with her life.,Pooja has been brought up by her grandparents  and has no recollection of her mom and dad. She is told by her grandpa  Kantaprasad  that her dad had passed away. Years later  Pooja has now ...                    ,,Sulabha Arya|Pooja Bhatt|Sakshi Bhatt|Shaheen Bhatt|Avtar Gill|Neena Gupta|Suhas Joshi|Satish Kaushik|Anupam Kher|Akash Khurana|Pramod Moutho|Soni Razdan|Manohar Singh|,3 wins,
tt0926191,Bajrangi and his sister  Sharda  lives in a small village in Central India  and have been orphaned at a very young age. Since Sharda is of marriageable age  Bajrangi arranges for a suitable groom whose dad will approve of this marriage provided he gets a dowry of ten thousand Rupees. Bajrangi does come up with the money and the wedding date is set. While getting some milk for her brother  Sharda gets molested by the dairy farm Manager and his employees  but Bajrangi comes to her rescue. This incident castes aspirations against Sharda  and the price of the dowry is doubled. Unable to pay this amount  and stand the taunts of villagers  the siblings  accompanied by their Kaki  re-locate to Bombay. Upon arrival  they find a small apartment and Bajrangi goes looking for employment. While walking  he is recognized by several people  who call him "Sikander". No one believes him when he refutes this  instead he is abducted by an underworld Don  K.K.  and subjected to shock treatment. ...,Bajrangi and his sister  Sharda  lives in a small village in Central India  and have been orphaned at a very young age. Since Sharda is of marriageable age  Bajrangi arranges for a suitable...                    ,,Jeetendra|Bhanupriya|Prem Chopra|Shakti Kapoor|,,
tt0373778,Charged with the brutal killing of Savitri and Kutti  facing a death-sentence  or life in prison  accused Bombay taxi-driver  Satyaprakash Tripathi  prosecuted by his very own brother  Gautam  tells his story of how he arrives in the city along with his mother  Shanti  and sister  Gauri; how they get estranged from Gautam; how Gauri becomes a prostitute; and how he ended up being arrested by the Police.,Charged with the brutal killing of Savitri and Kutti  facing a death-sentence  or life in prison  accused Bombay taxi-driver  Satyaprakash Tripathi  prosecuted by his very own brother  ...                    ,,Mithun Chakraborty|Padmini Kolhapure|Nirupa Roy|Shafi Inamdar|Sadashiv Amrapurkar|Aruna Irani|Madhu Malhotra|Manik Irani|Raj Tilak|Sharat Saxena|Sudhir Dalvi|Rajesh Puri|Shreeram Lagoo|Mohan Choti|,,16 June 1989 (India)
tt0097045,In one cruel stroke of fate  Chandni (Sridevi) faces life alone  her heart and her dreams shattered as Rohit (Rishi Kapoor) disappears from her life. When she meets Lalit (Vinod Khanna) who is fighting the demons of tragic memories  they both find solace in this new friendship. Lalit's affection gives a new direction to Chandni's life  but Lalit is falling for her and Chandni resigns to destiny  till one day  Rohit knocks on her door. CHANDNI is a classic Yash Chopra love story  softly lyrical  throbbingly beautiful and filled with exquisite locales  lilting melodies and the sound of three hearts hopelessly in love.,Fate leaves Chandni shattered as her love Rohit disappears from her life. She meets Lalit and they befriend each other until Rohit knocks on her door.,,Sridevi|Rishi Kapoor|Vinod Khanna|Waheeda Rehman|Anupam Kher|Sushma Seth|Achala Sachdev|Beena Banerjee|Manohar Singh|Renu Arya|Mita Vasisht|Asha Sharma|Ananth Narayan Mahadevan|Manju Maini|,2 wins & 5 nominations,14 September 1989 (India)
tt0405852,Dinanath is a school-teacher in a small town in India  and lives with his wife  Kamla; daughter  Shanti; and son Kundan. He has published a book called "Daata" in which he has made reference to all major religions of the world  and is honored for this contribution by none other than the President of India through Education Minister  Raja Suraj Singh. He arranges the marriage of Shanti to the son of Gopaldas  when Gopaldas demands dowry he is unable to afford this  and states that he has given sufficient gold and jewelery to Shanti. The gold turns out to be fake  as a result the marriage is canceled  Shanti kills herself  Dinanath dies of a heart attack. His name tarnished  no one comes forward to help Kundan or his mother. Kundan decides to avenge his father's death by killing Gopaldas' son  as a result he becomes a bandit  joins a band of other bandits and is on the look-out to kill Gopaldas. The question remains is this what Dinanath had foreseen for his son - a life of a bandit  ...,Dinanath is a school-teacher in a small town in India  and lives with his wife  Kamla; daughter  Shanti; and son Kundan. He has published a book called "Daata" in which he has made ...                    ,,Tom Alter|Shoma Anand|Arun Bakshi|Brahm Bhardwaj|Bharat Bhushan|Birbal|Mithun Chakraborty|Prem Chopra|Anil Dhawan|Saeed Jaffrey|Jamuna|Pallavi Joshi|Kamal Kapoor|Satyendra Kapoor|,,
tt0423844,,Add a Plot »,,Raj Kiran|Saloni|Nilesh Malhotra|Prema Narayan|Mushtaq Merchant|,,
tt0097264,Ishwar is a simple-minded and honest young man  devout and religious  he cares for everybody he comes in contact with. But alas nobody really likes him and think him as intellectually disabled. Living an unconventional life  he takes pity on a widow named Lalita  with a young son  and marries her  much to the shock of the community. Ishwar now has a monumental task  to look after his new bride  and ensure his step-son gets the required education and skills to fend for himself. Will the community let Ishwar succeed?,Ishwar is a simple-minded and honest young man  devout and religious  he cares for everybody. He meets with a young widow with a son and marries her. This story is about him and his trials and triumphs.,,Anil Kapoor|Vijayshanti|Vinod Mehra|Asha Sachdev|Shammi|Bharti Achrekar|Sadashiv Amrapurkar|Saeed Jaffrey|Gulshan Grover|Agha|Jayshree Gadkar|Vikram Gokhale|Rakesh Pandey|Kamal Joshi|,1 win & 2 nominations,24 February 1989 (India)
tt0359169,Manu and Kanu are two con-men and petty thieves who work alone and are not known to one another. They individually decide to work for underground criminal Don "K.K."  and K.K. accepts them. This does not auger well with Bichoo  K.K.'s son  who dislikes them as he had physical disputes with them in the past. When both are assigned work  Bichoo makes an anonymous call to the police  and both are arrested  held in a cell  chained to each other. They are then transported to the Court  they escape  still chained to each other. It is then the underworld and the general community in India is shocked when photographs of both the escapees are flashed across television sets that they are responsible for killing a Police Inspector named Amar Sinha  and that the police have issued shoot-at-sight orders for both of them. The question remains  why would two small-time crooks take it upon themselves to kill a Police Officer?,Manu and Kanu are two con-men and petty thieves who work alone and are not known to one another. They individually decide to work for underground criminal Don "K.K."  and K.K. accepts them....                    ,,Sanjay Dutt|Govinda|Farha Naaz|Neelam Kothari|Amrish Puri|Gulshan Grover|Suresh Oberoi|Ranjeeta Kaur|Vikas Anand|Shubha Khote|Gita Siddharth|Baby Guddu|Master Sudhanshu|Kamal Kapoor|,,15 February 1989 (India)
tt0172509,Political activity heats up in the coastal city of Goa  India  when it gets near election time. Two candidates  one  MLA Kalekar  representing the majority of the local-speaking population  and the other  Dennis Pereira  for the local minority-speaking population  are out to prove under who the city will be best represented. And they will not leave any stone unturned to succeed. Some local college students  including Peter  who loves his class-mate Sangeeta Kalekar; their friend  Sanjeev Kamat  who secretly loves Sangeeta. Sangeeta is the daughter of local MLA Kalekar. Sanjeev comes to know that Kalekar is behind local killings  rioting  and drug supplies  and threatens to expose him  but he must himself clear himself for the murder of Peter  the man his sweetheart intends to marry.,Political activity heats up in the coastal city of Goa  India  when it gets near election time. Two candidates  one  MLA Kalekar  representing the majority of the local-speaking population ...                    ,,Kumar Gaurav|Juhi Chawla|Tinnu Anand|Benny Jacob|Binju Ali|Agha|Sulabha Arya|Prajakta Rana|Carlton Starr|Victoria Fernandez|Anil Kudchadkar|Rajan|Bhagwant Deshpande|Joy Augustine|,1 nomination,7 March 1989 (India)
tt0215789,Jhanvi Kaul is on trial for the murder of her lover and employer  Ranjeet Choudhary. A series of prosecution witnesses build a damning case against her - that the two of them had embezzled large sums of money  that she had another lover who is also a local goon and that a witness even saw her throwing the body of Ranjeet over her apartment balcony.,Jhanvi Kaul is on trial for the murder of her lover and employer  Ranjeet Choudhary. A series of prosecution witnesses build a damning case against her - that the two of them had embezzled ...                    ,,Zeenat Aman|Vikram Gokhale|Ashutosh Gowariker|Shekhar Kapur|Ranjeeta Kaur|Avinash Kharshikar|Rakesh Pathwardhan|Shammi|Tanuja|Hosi Vasunia|,,
tt0093182,Hyderabadi Hiralal  who is also referred to as 'Hero' due to his obsession with Bollywood movies  drives an auto-rickshaw and often gets into fisticuffs. Things change when he meets with actress  Roopa  shows her around  and falls head-over-heels in love with her - so much so - when the unit leaves  he drives all the way to Bombay to be close to her. It is here that he will come to know that she has no similar feelings for him - and he will be thrown into contact with beautiful and manipulative actress  Sitara Devi  who has new and different role for him - one that will change his life forever.,Hyderabadi Hiralal  who is also referred to as 'Hero' due to his obsession with Bollywood movies  drives an auto-rickshaw and often gets into fisticuffs. Things change when he meets with ...                    ,,Naseeruddin Shah|Sanjana Kapoor|Deepa Sahi|Kiran Kumar|Rohini Hattangadi|Saeed Jaffrey|Satish Shah|Mohan Gokhale|Johnny Lever|Dilip Dhawan|Deepak Qazir|Ahmad Khan|Rahul Chowdhary|Hosi Vasunia|,,21 October 1988 (India)
tt0187043,Officer Kapil Khanna was a strict enforcer of the law. In order to gain evidence against the local mafia Don D'Costa he seek ed favour from his underworld friend Aazam Khan a man with a golden heart. Aazam Khan was successful in securing evidence against D'Costa but the mafia got wise to it and before Aazam Khan could reach the law  D'Costa with the help of his friend Dalpat Dalal liquidated him. The blame of Aazam Khan's death was owned by a petty driver Nathulal for a price paid by Dalpat Dala. Aazam Khan's little son Akbar swore vengeance against Police Officer Kapil Khanna as he felt him responsible. Kapil Khanna's wife delivered a baby boy in the hospital of D'Costa  so did Dalpat Dalal's wife to a baby girl. D'Costa returned Dalpat's favour by interchanging the two on Dalpat's insistence. Kapil Khanna was enraged at this and he took to a legal battle against the hospital authorities. The court gave the custody of the little girl to Nathulal's wife Banto who worked as a casual ...,Officer Kapil Khanna was a strict enforcer of the law. In order to gain evidence against the local mafia Don D'Costa he seek ed favour from his underworld friend Aazam Khan a man with a ...                    ,,Sridevi|Govinda|Kimi Katkar|Rajinikanth|Satyendra Kapoor|Tej Sapru|Mukri|Pinchoo Kapoor|Aruna Irani|Rohini Hattangadi|Ashalata Wabgaonkar|Sagar Solanki|Viju Khote|Moolchand|,,24 March 1989 (India)
tt0363634,Kumar is a very wealthy businessman and lives a comfortable lifestyle with his lovely wife  Asha  in a palatial house. The only thing missing from their lives is a son. When Asha gets pregnant  Kumar knows that all his dreams will be fulfilled and his business will be known as "Kumar & Son". Unfortunately  Asha has a miscarriage which results in her death as well as in the death of their son. A devastated Kumar takes to alcohol and devotes his energy and finances to a school for needy children in scenic Mussoorie. It is here he gets to meet the College Principal's daughter  Kiran  who he knows is in love with a fellow-collegian  Ravi. When Ravi takes part in the annual car rally  his vehicle is sabotaged and he is reportedly killed. But Ravi survives and with the help of his parents wants to return to Mussoorie. Before that could happen  Kiran's father tells them that Kiran is no more  throwing Ravi into a relapse. Months later Ravi does recover  but refuses to get married. Then five ...,Kumar is a very wealthy businessman and lives a comfortable lifestyle with his lovely wife  Asha  in a palatial house. The only thing missing from their lives is a son. When Asha gets ...                    ,,Rajesh Khanna|Neelam Kothari|Chunky Pandey|Om Shivpuri|Arun Bakshi|Shafi Inamdar|,,22 December 1989 (India)
tt0097513,Suraj belongs to a princely family and lives in a castle with his paternal grandma  Raajmata  who wants him to get married to Preet Kaushal. But Suraj does not like Preet  runs away from home  gets into a dance competition  wins it  also wins the heart of Anupriya  and wants to marry her. He convinces Raajmata to change her mind  and she finally relents. Before the marriage could take place  Anupriya's brother  Jeetu  is kidnapped and held for ransom for 50 Lakh Rupees  since she does not have the money  she asks Suraj for help  and the money is provided to her. Subsequently  they find the money missing and the lifeless body of Anupriya. Suraj must now find out who killed his sweetheart  and the only one to guide him appears to be an apparition - a ghost-like figure that resembles Anupriya - and the only clue is that she was shot dead by four different people.,Suraj and Anupriya are about to get married  but tragedy strikes when Ánu is killed. What was the motive behind this killing?,,Mithun Chakraborty|Poonam Dhillon|Mandakini|Raj Babbar|,,
tt0089382,Dara and Karan  the sons of two of the victims of dacoit Jogi Thakur  wait many years to exact their revenge. When the Thakur's colleague Raja Singh cheats him and runs away with his loot  Jogi is arrested and sentenced for life imprisonment. Years later Jogi escapes from the prison to get hold of Raja and take back his booty  but finds his face on all the posters in the village to find him dead or alive with a reward of fifty thousand rupees. When Karan gets to know Jogi has escaped he goes looking for him. Dara also join hands with Karan to even the score with the dreaded dacoit.,Dara and Karan  the sons of two of the victims of dacoit Jogi Thakur  wait many years to exact their revenge. When the Thakur's colleague Raja Singh cheats him and runs away with his loot  ...                    ,,Sunny Deol|Anil Kapoor|Sridevi|Meenakshi Sheshadri|Kulbhushan Kharbanda|Rajesh Vivek|Satyendra Kapoor|Alok Nath|Prema Narayan|Rajesh Puri|Rama Vij|Bharat Bhushan|Master Jatin Khurana|Harjeet Walia|,,10 January 1989 (India)
tt0097466,Mithun Chakraborty's ambition is to become an upright Police officer  but unluckily he is not getting selected. His sole strength is his lady love Sridevi. As Mithun's ambition fails  he turns to alcohol and dacoity and thugism. He finally joins Amrit Pal's lethal gang to take revenge on Police force  which blocked his ambition. Sridevi (in a double role)  is Shakti Kapoor's important gang member. One day  Shakti Kapoor gets the confidential message about an under cover cop in his Gang. Who is the undercover agent? forms the Climax.,A guru wants to join the Police force like his late father.,,Mithun Chakraborty|Sridevi|Shakti Kapoor|Roopesh Kumar|Amrit Pal|Yunus Parvez|Bob Christo|Arun Bakshi|Sameer Khakhar|Seema Deo|Javed Khan|,,1 January 1989 (India)
tt0359442,Dharampal presides over his palatial home and his family with dictatorial ruthlessness. His wife is terrified of him. His sister would rather die than marry without his permission. Naturally  when his daughter  Rekha falls in love with a mere labourer  Bhola  this angers Dharampal to such an extent that he implicates Bhola for raping and abducting her  and forces her to testify against Bhola in court  and she does so. When Shankar and his wife attempt to help Bhola and Rekha  Dharampal has his men chop off both of Shankar's arms. The only one who could stand up to Dharampal is Kishanlal  his sister's former lover  but how long will Dharampal tolerate him? "Hum bhi tere bandhey hain hum bhi insaan hai  tumhey hum pe taras kyon ahta nahin..." is hummable.,Dharampal presides over his palatial home and his family with dictatorial ruthlessness. His wife is terrified of him. His sister would rather die than marry without his permission. ...                    ,,Sanjay Dutt|Jackie Shroff|Neelam Kothari|Jaya Prada|Kader Khan|Sonam|Raj Babbar|Ranjeet|Asrani|,,
tt0427400,Advocate Anjali had been betrayed in love  and as a result has become an embittered woman  hating all men. She is assigned as a public prosecutor to ensure that accused  Rajesh Srivastav  gets hanged for homicide. She succeeds  but in order to teach Rajesh a lesson. She decides to give him a sum of five lakhs rupees to provide for his blind mother and unmarried sister. Thereafter he will have to marry her  and spend the rest of his life following her instructions until she fulfils the conditions of her parents' will and inherit a vast estate and fortune. Rajesh has no choice but to agree. The marriage takes place  and Rajesh starts showing his true colours  getting drunk and abusive. Then Rajesh's advocate Malhotra finds out fresh evidence that Rajesh may not have committed the murder after all. How will this information affect Anjali and her conditions she has imposed upon Rajesh?,Advocate Anjali had been betrayed in love  and as a result has become an embittered woman  hating all men. She is assigned as a public prosecutor to ensure that accused  Rajesh Srivastav  ...                    ,,Shashi Kapoor|Raj Babbar|Madhavi|Anupam Kher|Krishna Chauhan|Nivedita Joshi Saraf|Aruna Irani|Satyendra Kapoor|Mac Mohan|Sudhir Dalvi|Paintal|Suhas Joshi|Bharat Kapoor|Gurbachan Singh|,,
tt0373935,Gangaram Verma has worked for the local municipality for several years  and is known in the community for being honest. Contractors' many attempts to bribe him have all been in vain. One of the contractor's  Prem Kumar  decides to teach Gangaram a lesson. He hires Gangaram's only son  Vijay  in his office  and subsequently gets him married to his only daughter  Sapna. The three then scheme to get Gangaram to trust them  and upon doing so  they get him to sign his property to them  leaving Gangaram and his wife  Laxmi  homeless. Vijay and Sapna bring up their son  Ravi  and tell him that his grandparents are dead. Years go by  then one day Ravi comes across a coolie who resembles his grandfather. He follows him home  and gets to hear the truth from his lips  and decides to treat his mom and dad the same way they treated his grandparents  with shocking results.,Gangaram Verma has worked for the local municipality for several years  and is known in the community for being honest. Contractors' many attempts to bribe him have all been in vain. One of...                    ,,Govinda|Kimi Katkar|Kader Khan|Asrani|Shakti Kapoor|Gulshan Grover|Shoma Anand|Mehmood Jr.|Paintal|Rajesh Puri|,,2 June 1989 (India)
tt0097609,After learning a few magical tricks from his fellow inmate former businessman and ex-jail convict assume the identity of an ascetic named Mahaprabhu Jagatsagar Chintamani so that he can easily use these tricks to con the villagers of Dharampur with a motive of acquiring their wealth for himself. His U.S. returned son  Shankar Narayan refuses to accept this way of living only to consult an expert magician named Goga to put an end to his father's misdeeds. Goga who later changes his name to Gogeshwar manages to outwit Mahaprabhu and take control of his ashram. Feeling satisfy after his deeds has been reached; Shankar then asks Goga to leave but a stubborn will-power Goga refuses to do so as he plans to explain his stubbornness to Shankar at a later date.,After learning a few magical tricks from his fellow inmate former businessman and ex-jail convict assume the identity of an ascetic named Mahaprabhu Jagatsagar Chintamani so that he can ...                    ,,Amitabh Bachchan|Jaya Prada|Amrita Singh|Pran|Amrish Puri|Aditya Pancholi|Raza Murad|,,
tt0097563,Ilaaka - has a small little world of its own. A world of dreams and desires love and longings  hatred and hardships. This is Raja who stands at the cross roads of truth and traditions.. In this small world we have Suraj and Neha  the two crusaders against the might of evil. And we have the evil incarnated too! Nagar as vicious as a viper and as blood thirsty as a wolf. Here we have good old Masterji who is ready to sacrifice himself for his tiny world. And we have cunning Swami also  who is ready to destroy everything. Ilaaka has love and laughter  blood and tears. It is as delicate as a petal and as hard as steel. Ilaaka  a painting which has all the seven colours of rainbow.,Ilaaka - has a small little world of its own. A world of dreams and desires love and longings  hatred and hardships. This is Raja who stands at the cross roads of truth and traditions.. In ...                    ,,Mithun Chakraborty|Sanjay Dutt|Madhuri Dixit|Amrish Puri|Amrita Singh|Dalip Tahil|A.K. Hangal|Goga Kapoor|Dharmendra|Rakhee Gulzar|Mac Mohan|Johnny Lever|Om Puri|Avtar Gill|,,19 April 1989 (India)
