crew_id,name,born_year,death_year,profession,known_for
nm0009302,Hadi Abrar,\N,\N,director|assistant_director|producer,tt1279105|tt0121989|tt6046994|tt0232079
nm0012541,Nikkhil Advani,1971,\N,writer|director|producer,tt1172587|tt2385104|tt6084582|tt0347304
nm0012892,Ahathian,\N,\N,director|writer,tt0292552|tt0244794|tt0984202|tt8238236
nm0013026,Jalal Agha,\N,1995,actor|director|writer,tt0083987|tt0073707|tt6291976|tt0172509
nm0013158,Atul Agnihotri,1970,\N,actor|producer|director,tt1729637|tt10888594|tt0396563|tt1087856
nm0013160,Sunil Agnihotri,\N,\N,director|producer|assistant_director,tt3837208|tt0104660|tt1238718|tt0289685
nm0013288,Manoj Agrawal,\N,\N,assistant_director|director|producer,tt0339878|tt0244528|tt0119862|tt10087614
nm0014084,Sukhdev Ahluwalia,1932,\N,director|writer|camera_department,tt0150348|tt2728318|tt0150317|tt0152531
nm0014180,Sultan Ahmed,\N,2002,director|producer|writer,tt0343850|tt0405852|tt0077596|tt0070166
nm0014385,Ashok Ahuja,\N,\N,director,tt0177480|tt3508198
nm0015136,S.A. Akbar,\N,\N,director|assistant_director,tt0176011|tt0451780|tt0283989|tt0230141
nm0015288,Khalid Akhtar,\N,\N,director|assistant_director|actor,tt0060310|tt0176101|tt0359580|tt0361948
nm0015295,Zoya Akhtar,1972,\N,writer|producer|director,tt2395469|tt1787988|tt1562872|tt4110568
nm0019425,Haidar Ali,1948,\N,actor|writer|director,tt0449994|tt0121989|tt0298437|tt1629424
nm0019464,Muzaffar Ali,1944,\N,director|writer|producer,tt0083248|tt3826186|tt0149674|tt0150683
nm0023551,Abrar Alvi,1927,2009,writer|actor|director,tt0359496|tt0056436|tt0071811|tt0056379
nm0024039,Amarjeet,\N,\N,actor|producer|director,tt0083987|tt0225961|tt0274944|tt0275363
nm0024061,K. Amarnath,1914,1983,director|producer|writer,tt0154700|tt0154264|tt0154863|tt0154312
nm0024912,Shimit Amin,\N,\N,editorial_department|sound_department|editor,tt0112702|tt0402014|tt0341266|tt0871510
nm0025399,Kamal Amrohi,1918,1993,writer|director|music_department,tt0067546|tt0045666|tt0152148|tt0041619
nm0025603,Anand,\N,\N,actor|assistant_director|director,tt0376886|tt0343048|tt0092049|tt0193246
nm0025608,Chetan Anand,1921,1997,director|writer|actor,tt0154942|tt0154749|tt0154565|tt0140784
nm0025609,Deepak Anand,\N,\N,director|editor|actor,tt0318956|tt7191668|tt0103763|tt0374342
nm0025611,Gogi Anand,\N,\N,assistant_director|director|actor,tt0066241|tt3890300|tt0276925|tt0275291
nm0025613,Inder Raj Anand,\N,1987,writer|director,tt0058547|tt0058467|tt0049041|tt0052560
nm0025617,Ketan Anand,\N,\N,director|actor|assistant_director,tt0363993|tt0177503|tt3509180|tt0112308
nm0025627,Tinnu Anand,1953,\N,actor|director|writer,tt1166100|tt0093949|tt1620719|tt0082594
nm0025629,Vijay Anand,1934,2004,writer|actor|director,tt0059246|tt0154685|tt0155088|tt0154265
nm0025805,Rajiv Anchal,\N,\N,director|writer|art_director,tt0415943|tt0282843|tt0372171|tt0353616
nm0030533,Nisar Ahmad Ansari,1917,1993,actor|director|producer,tt0154695|tt0154236|tt0256063|tt0155370
nm0031686,Faaiz Anwar,\N,\N,music_department|soundtrack|producer,tt0286416|tt1620719|tt1093370|tt0343048
nm0031967,Aparna Sen,1945,\N,actress|director|writer,tt0329393|tt0249866|tt0081968|tt1620620
nm0037022,Prakash Arora,\N,\N,assistant_director|director|actor,tt0040067|tt0046799|tt0041161|tt0043306
nm0037023,Prem Narayan Arora,1912,1985,producer|director,tt0154943|tt0154731|tt0154413|tt0139303
nm0039339,K. Asif,1922,1971,director|producer|writer,tt0091439|tt0133014|tt0054098|tt0037174
nm0039724,Apurva Asrani,\N,\N,editor|writer|director,tt0195231|tt6405126|tt0388315|tt0271197
nm0041928,Joy Augustine,1964,\N,writer|director|producer,tt3720320|tt0285319|tt0172509|tt0117878
nm0044584,Gopal B.,\N,\N,director,tt1579806|tt1228966|tt1575672|tt1583218
nm0045116,Baby,\N,\N,director|writer|producer,tt0246046|tt0333052|tt0334083|tt0279393
nm0046895,Rajnish Bahl,\N,\N,director,tt0155195
nm0046985,Deepak Bahry,\N,\N,director|producer|actor,tt0359444|tt0106799|tt0290213|tt0366880
nm0049335,K. Balachander,1930,2014,director|writer|producer,tt0155124|tt0155256|tt0082314|tt0154159
nm0049416,S.S. Balan,1936,2014,director|producer,tt2061666|tt0061370|tt0293634|tt0284248
nm0051721,Deepak Kumar Bandhu,\N,\N,actor|director|soundtrack,tt0347332|tt0319736|tt1606162|tt0265343
nm0051847,S. Bannerjee,\N,\N,director|music_department,tt0139444|tt0371894|tt0139749|tt0052051
nm0052630,K. Bapaiah,\N,\N,director|writer,tt0112876|tt0099869|tt0154412|tt0154118
nm0052677,Bapu,1933,2014,director|writer|miscellaneous,tt0155855|tt1453939|tt1783377|tt0156082
nm0054744,Sooraj R. Barjatya,1965,\N,producer|writer|director,tt0100095|tt3595298|tt0494290|tt0110076
nm0056423,Chandra Barot,\N,\N,director|assistant_director|producer,tt0077451|tt2652374|tt6081002|tt0389296
nm0059395,Jahnu Barua,1952,\N,director|writer|producer,tt0399254|tt0454504|tt0093136|tt0113311
nm0062614,Harry Baweja,\N,\N,producer|director|writer,tt0481241|tt0779768|tt0364621|tt0490170
nm0063357,Anees Bazmee,\N,\N,writer|director|assistant_director,tt1146325|tt0488798|tt1708532|tt0451833
nm0065991,Vishram Bedekar,1906,1998,director|writer|producer,tt0362070|tt0156128|tt0037209|tt0133188
nm0066066,Narendra Bedi,1937,1982,director|writer|miscellaneous,tt0455070|tt0155846|tt0075632|tt0071205
nm0066074,Rajinder Singh Bedi,1915,1984,writer|director|producer,tt0059445|tt0137455|tt0175908|tt0050665
nm0066918,Ramesh Behl,\N,1990,producer|director|actor,tt0077792|tt0086156|tt0373041|tt0246286
nm0070865,Dev Benegal,1960,\N,director|writer|producer,tt3366346|tt1190894|tt0215196|tt0109732
nm0070867,Shyam Benegal,1934,\N,director|writer|producer,tt0090202|tt0071145|tt0075747|tt0077783
nm0080157,Devika Bhagat,1979,\N,writer|assistant_director|director,tt2176013|tt2951576|tt0372183|tt10763268
nm0080173,Master Bhagwan,1913,2002,actor|director|writer,tt0137349|tt1309415|tt0155517|tt0155541
nm0080180,Bhagyaraj,1953,\N,actor|writer|director,tt0155927|tt0090575|tt0117099|tt0109116
nm0080191,Lekhraj Bhakri,\N,1976,director|writer|producer,tt0385894|tt0414430|tt0414506|tt0355716
nm0080192,Mohan Bhakri,\N,\N,director|writer|producer,tt0381324|tt0454485|tt0363740|tt0440530
nm0080220,Sanjay Leela Bhansali,1963,\N,producer|director|writer,tt0150992|tt0375611|tt3735246|tt0238936
nm0080235,Vishal Bhardwaj,\N,\N,composer|soundtrack|writer,tt1274295|tt4934950|tt3390572|tt0488414
nm0080278,Vijay K. Bhaskar,\N,\N,director|writer,tt0355742|tt0928152|tt1018698|tt0457391
nm0080297,Sudarshan Bhatia,\N,\N,director,tt0051705
nm0080310,Harsukh Jagneshwar Bhatt,1924,\N,director|assistant_director|producer,tt0156556|tt0156718|tt0156724|tt0156995
nm0080315,Mahesh Bhatt,1948,\N,producer|director|writer,tt0307873|tt0088031|tt0083578|tt0211126
nm0080320,Nanabhai Bhatt,1915,1999,director|writer|producer,tt0139705|tt0384268|tt0156783|tt0156254
nm0080324,Pooja Bhatt,1972,\N,actress|producer|director,tt0205189|tt0156891|tt0399942|tt0156985
nm0080325,Pravin Bhatt,\N,\N,cinematographer|director|writer,tt0156985|tt0448454|tt0149857|tt0978627
nm0080332,Vijay Bhatt,1907,1993,director|producer|miscellaneous,tt0044392|tt0156606|tt0139419|tt0156576
nm0080333,Vikram Bhatt,1969,\N,writer|director|producer,tt1301698|tt0190419|tt3848938|tt0307873
nm0080345,Basu Bhattacharya,1934,1997,director|producer|writer,tt0156258|tt0061072|tt0156290|tt0079938
nm0080358,Moni Bhattacharjee,\N,\N,director|assistant_director|miscellaneous,tt0349634|tt0062692|tt0054430|tt0057332
nm0080360,R. Bhattacharya,\N,\N,director|producer|writer,tt0247291|tt0351354|tt2769462|tt0378820
nm0080405,Bhimsain,1936,2018,director|producer|writer,tt0156534|tt0150718|tt6998554|tt3295870
nm0080406,A. Bhimsingh,1924,1978,director|writer|editorial_department,tt0156879|tt0156651|tt0059354|tt0063533
nm0081974,J.K. Bihari,\N,\N,miscellaneous|director|assistant_director,tt0168516|tt0359473|tt0359076|tt0362766
nm0083208,Apurba Kishore Bir,\N,\N,cinematographer|writer|director,tt1431288|tt0177481|tt1435530|tt0071083
nm0084428,Biswajit Chatterjee,1936,\N,actor|director|producer,tt0367922|tt0148575|tt0175572|tt0157845
nm0084432,Ajoy Biswas,\N,\N,director|actor|writer,tt3867480|tt4248860|tt0367660|tt0362111
nm0092555,K.C. Bokadia,\N,\N,director|producer|writer,tt0172704|tt1920986|tt0251346|tt0395672
nm0097859,Amit Bose,\N,\N,editor|sound_department|director,tt0078241|tt0138994|tt0248617|tt0390406
nm0097870,Dilip Bose,\N,\N,director|actor|writer,tt0290480|tt1584023|tt1584010|tt2609704
nm0097887,Nitin Bose,1897,1986,director|cinematographer|writer,tt0028786|tt0273527|tt0156468|tt0054910
nm0097899,Satyen Bose,1916,1993,director|writer|producer,tt0147036|tt0146645|tt0156342|tt0156923
nm0109279,Brij,1933,1990,director|producer|miscellaneous,tt0158331|tt0158375|tt0158314|tt0061206
nm0122216,Abbas Alibhai Burmawalla,\N,\N,director|producer|assistant_director,tt1017456|tt5785200|tt0326576|tt0106333
nm0122217,Mastan Alibhai Burmawalla,\N,\N,director|producer,tt0326576|tt5785200|tt1017456|tt0106333
nm0141033,Willard Carroll,1955,\N,producer|writer|director,tt0284334|tt0329354|tt0092695|tt0145734
nm0147203,John Cawas,1910,1993,actor|writer|director,tt0032395|tt0451805|tt0242832|tt0390654
nm0149446,Gurinder Chadha,1960,\N,writer|producer|director,tt0106408|tt0197096|tt0286499|tt0963743
nm0149810,Amiya Chakrabarty,1912,1957,director|writer|producer,tt0044527|tt0157524|tt0146266|tt0130489
nm0149812,Utpalendu Chakrabarty,1948,\N,director|writer|composer,tt0157452|tt0158013|tt0134580|tt0158007
nm0149835,J.D. Chakravarthi,\N,\N,actor|director|writer,tt0195231|tt0314008|tt0471646|tt1612022
nm0149850,Pramod Chakravorty,1929,2004,director|producer|assistant_director,tt0157944|tt0157844|tt0157337|tt0070253
nm0151192,Tapi Chanakya,1925,1973,director|writer|assistant_director,tt0157581|tt0157841|tt0158158|tt0157432
nm0151274,Chand,\N,\N,director|actor|writer,tt0368243|tt0358138|tt0355374|tt3113910
nm0151305,Ajay Chandhok,\N,\N,assistant_director|director|miscellaneous,tt0438894|tt1363363|tt4512230|tt0476819
nm0151504,N. Chandra,1952,\N,director|writer|editor,tt1002963|tt0287111|tt0306855|tt0096252
nm0151511,Tanuja Chandra,\N,\N,director|writer|actress,tt7399470|tt0332766|tt0823261|tt0118983
nm0151521,Chandrakant,1929,\N,director|writer|producer,tt0157342|tt0157845|tt0157959|tt0157843
nm0151546,S.A. Chandrashekhar,\N,\N,director|writer|actor,tt1192385|tt6823034|tt1326149|tt0319583
nm0151551,Chandu,\N,\N,miscellaneous|camera_department|actor,tt0284137|tt0357875|tt0147811|tt0079584
nm0154113,Basu Chatterjee,1930,\N,director|writer|producer,tt0064935|tt0079364|tt0072064|tt0152720
nm0154153,Samar Chatterjee,\N,\N,actor|director|producer,tt0056850|tt0176072|tt0389304|tt0058257
nm0154206,Kartick Chattopadhyay,1912,1989,director,tt0157454|tt0158022|tt0049708|tt0157726
nm0154269,Anil Chaudhary,\N,\N,actor|director|writer,tt7139504|tt1852179|tt0240849|tt2962230
nm0155027,Sanjay Chhel,\N,\N,writer|music_department|director,tt1132595|tt0120540|tt0220597|tt0807758
nm0158332,Leela Chitnis,1909,2003,actress|director|music_department,tt0031527|tt0270274|tt0270273|tt0052154
nm0158343,Chitrayug,\N,\N,director,tt0280398
nm0159146,Abhay Chopra,\N,\N,actor|director,tt0111068|tt0456413|tt0189633|tt0248185
nm0159147,Aditya Chopra,1971,\N,producer|writer|director,tt0420332|tt0213890|tt1182937|tt0112870
nm0159148,B.R. Chopra,1914,2008,producer|director|writer,tt0057120|tt0053985|tt0337578|tt0052154
nm0159162,Ravi Chopra,1946,2014,director|producer|writer,tt0158534|tt0158451|tt0337578|tt0158694
nm0159269,Mohan Choti,\N,\N,actor|director|producer,tt0242272|tt0146335|tt0187176|tt2679238
nm0185345,Greg Coyes,\N,\N,director|writer|producer,tt0243583|tt0276360|tt0088591|tt0235968
nm0195934,Lawrence D'Souza,\N,\N,producer|cinematographer|director,tt0449994|tt0102825|tt0267905|tt0284811
nm0196375,Parvin Dabas,1974,\N,actor|director|writer,tt0265343|tt1188996|tt0466460|tt1630282
nm0196380,Randhir Kapoor,1947,\N,actor|producer|director,tt0152139|tt0121352|tt0177497|tt0357811
nm0201710,Dharmesh Darshan,\N,\N,writer|director|music_department,tt0117437|tt0232079|tt0255111|tt0107440
nm0201713,Suneel Darshan,\N,\N,producer|director|writer,tt0267252|tt0338477|tt0444767|tt0845535
nm0201837,Ram Daryani,1915,\N,director,tt0372790|tt0158706|tt0129422|tt0158551
nm0201875,Bhagwan Das Varma,\N,\N,director|writer|producer,tt0134300|tt0130489|tt0045524|tt0374137
nm0201897,K.S.R. Das,1936,2012,director|writer|editor,tt1360879|tt1360170|tt0454411|tt0499246
nm0201903,Nandita Das,1969,\N,actress|animation_department|writer,tt0280465|tt1263679|tt0312859|tt6923462
nm0201923,Anand Dasani,\N,\N,director,tt4406512|tt0076288
nm0201927,Narayana Rao Dasari,1947,2017,director|writer|actor,tt0251834|tt0280845|tt0262781|tt0262447
nm0201949,Buddhadev Dasgupta,1944,\N,director|writer|music_department,tt0077457|tt0106546|tt0255665|tt0332699
nm0202545,Ravindra Dave,1919,1992,director|producer,tt0212857|tt0213105|tt0212745|tt0052082
nm0214350,Manohar Deepak,\N,\N,actor|director|miscellaneous,tt0053629|tt0050758|tt0068756|tt0231896
nm0214358,Deepshika Nagpal,1977,\N,actress|writer|producer,tt1047519|tt0136352|tt0482246|tt1826051
nm0219939,Danny Denzongpa,1948,\N,actor|music_department|soundtrack,tt1305797|tt0104607|tt3848892|tt0120102
nm0219964,Shrabani Deodhar,\N,\N,director|writer|producer,tt10011102|tt0473684|tt10209164|tt0267928
nm0219971,Sunny Deol,1957,\N,actor|producer|director,tt0284137|tt0116407|tt0118751|tt0099652
nm0220813,Dhirubhai Desai,1908,1990,director|sound_department|producer,tt0213476|tt0214082|tt0213966|tt0213602
nm0220820,Jayant Desai,1909,1976,director|writer|producer,tt0214188|tt0213447|tt0213564|tt0214135
nm0220823,Ketan Desai,\N,\N,producer|assistant_director|director,tt0090611|tt0089552|tt0085361|tt0098491
nm0220828,Manmohan Desai,1937,1994,director|producer|writer,tt0213773|tt0082797|tt0089552|tt0213524
nm0220844,T.K. Desai,\N,\N,art_director|art_department|director,tt0154685|tt0246286|tt0084744|tt0058270
nm0220849,Vikas Desai,\N,\N,actor|director|writer,tt1661585|tt0259571|tt0259583|tt0259322
nm0221222,Sulabha Deshpande,1937,2016,actress|director,tt2181931|tt3122380|tt0115009|tt2748972
nm0222150,Prabhu Deva,\N,\N,actor|miscellaneous|director,tt0323013|tt2077833|tt1451409|tt1084972
nm0222426,Ajay Devgn,1969,\N,actor|producer|music_department,tt0488414|tt3771536|tt0319736|tt1395054
nm0222427,Anil Devgan,\N,\N,assistant_director|director,tt0116690|tt1252488|tt0444769|tt2178508
nm0222428,Veeru Devgan,\N,2019,stunts|actor|assistant_director,tt0207513|tt0093578|tt0267617|tt0107986
nm0223047,Ravi Dewan,\N,\N,stunts|director|writer,tt0130348|tt0135140|tt0338721|tt0449994
nm0223049,Vinod Dewan,\N,\N,director|assistant_director,tt0152080|tt0270091|tt0117186|tt0173188
nm0223050,Ajit Dewani,\N,\N,director|writer,tt0271138|tt0398360|tt0482240
nm0223335,Debaloy Dey,\N,\N,assistant_director|director,tt2208248|tt0106541|tt0307837
nm0223475,Girish Dhamija,\N,\N,writer|miscellaneous|director,tt0453978|tt2023645|tt0495032|tt0827714
nm0223485,Guddu Dhanoa,\N,\N,director|producer|writer,tt0225029|tt0252277|tt0286936|tt0476762
nm0223522,David Dhawan,\N,\N,director|editor|writer,tt0207341|tt0106204|tt0807758|tt0418362
nm0223606,Tigmanshu Dhulia,\N,\N,director|actor|writer,tt1954470|tt0362696|tt2362778|tt1620933
nm0227604,H. Dinesh,\N,\N,director,tt0877595|tt0268990
nm0233252,Doondi,\N,\N,producer|miscellaneous|director,tt0280394|tt0254441|tt0061650|tt0262444
nm0234389,Chaturbhuj Doshi,1894,1969,director|writer,tt0177477|tt0214090|tt0214135|tt0213979
nm0240881,Mukesh Duggal,\N,1997,producer|director,tt0109922|tt0376080|tt0113822|tt0156982
nm0244335,Iqbal Durrani,\N,\N,writer|actor|director,tt0112485|tt0446159|tt0286620|tt0110254
nm0244870,Guru Dutt,1925,1964,actor|director|producer,tt0045529|tt0043307|tt0056436|tt0050870
nm0244873,Hari Dutt,\N,\N,director|actor,tt2935640|tt0176110|tt0271670
nm0244876,Mukul Dutt,\N,\N,music_department|director|assistant_director,tt0178184|tt0177499|tt0069152|tt0298267
nm0244892,J.P. Dutta,1949,\N,director|writer|producer,tt0485522|tt0347416|tt0250690|tt0118751
nm0244898,O.P. Dutta,1921,2012,writer|director,tt0250690|tt0118751|tt0215034|tt0089201
nm0259847,James Erskine,\N,\N,director|producer|writer,tt2557258|tt0364151|tt0398037|tt6003528
nm0265752,Latif Faiziyev,1929,1994,director|writer|actor,tt0152509|tt0170416|tt0170644|tt0170456
nm0268909,Sheikh Fattelal,1897,1964,director|cinematographer|art_director,tt0028217|tt0273632|tt0158700|tt0158915
nm0269807,Sibtain Fazli,1916,1985,director,tt0214578|tt0252386|tt0362143|tt0150422
nm0300638,Ashok Gaekwad,\N,\N,director|assistant_director|actor,tt0395519|tt0286640|tt0464969|tt0107821
nm0304356,Anil Ganguly,1933,2016,director|writer|producer,tt0165972|tt0290179|tt1459912|tt0363583
nm0304369,Samir Ganguly,\N,\N,director|assistant_director|writer,tt0067742|tt0381319|tt0306065|tt0293081
nm0307231,Simi Garewal,1947,\N,actress|director|writer,tt0063532|tt0214841|tt0231469|tt0067000
nm0310216,Desh Gautam,\N,\N,director|miscellaneous|assistant_director,tt0408733|tt0363732|tt0122162|tt0363196
nm0311678,Geethapryia,\N,\N,director|writer|music_department,tt1373147|tt1380183|tt1380211|tt3475688
nm0315461,B.S. Ghad,\N,\N,director,tt0071725
nm0315479,Ashok Ghai,\N,\N,producer|assistant_director|director,tt0238591|tt0105166|tt0107311|tt0091328
nm0315553,Krishna Ghattamaneni,1944,\N,actor|director|writer,tt0263623|tt0234739|tt0234046|tt2737906
nm0315872,Goutam Ghose,1950,\N,director|writer|cinematographer,tt0368559|tt0087868|tt0470611|tt0110794
nm0315889,Dilip Ghosh,1955,\N,director|producer,tt2658126|tt0092956|tt0098975
nm0315905,Nabendu Ghosh,\N,\N,writer|actor|script_department,tt0300575|tt0358063|tt0139447|tt0216110
nm0315912,Partho Ghosh,\N,\N,director|writer|actor,tt0446158|tt7154710|tt0341458|tt0115484
nm0315916,Rituparno Ghosh,1963,2013,writer|director|music_department,tt0368969|tt1461674|tt1555754|tt0405266
nm0321553,B.S. Glaad,\N,\N,editor|director|writer,tt0359266|tt0257475|tt0087434|tt0148519
nm0324389,Devendra Goel,1919,1979,director|producer|writer,tt0214653|tt0178202|tt0175564|tt0130649
nm0329716,K.S. Gopalakrishnan,1929,2015,director|writer|producer,tt0215916|tt0214583|tt0214839|tt0351632
nm0332866,Aron Govil,\N,\N,producer|director|actor,tt1847736|tt1528282|tt1038915
nm0332950,Ashutosh Gowariker,1964,\N,writer|actor|producer,tt8176040|tt0169102|tt0367110|tt0449994
nm0333031,O.P. Goyle,\N,\N,assistant_director|actor|producer,tt0796808|tt0069751|tt3736942|tt0354662
nm0346618,Dulal Guha,1928,2001,director|writer|producer,tt0216110|tt0059023|tt0215714|tt0216171
nm0347899,Gulzar,1934,\N,music_department|writer|soundtrack,tt0091256|tt1010048|tt3390572|tt2176013
nm0348136,Gunjal,1904,1968,director|producer,tt0390912|tt0216007|tt0215742|tt0215522
nm0348472,Hemen Gupta,1912,1967,director|writer|producer,tt0215890|tt0215515|tt0215457|tt0055039
nm0348495,Sanjay Gupta,\N,\N,writer|director|producer,tt0488906|tt0430381|tt4323504|tt0294662
nm0352032,Kamal Haasan,1954,\N,actor|music_department|writer,tt0222012|tt0479651|tt0364647|tt2199711
nm0359489,Vipin Handa,\N,\N,director|writer|music_department,tt0271243
nm0361407,Jugal Hansraj,1972,\N,actor|director|writer,tt0085913|tt1050739|tt0456165|tt1351224
nm0363029,K. Hariharan,\N,\N,producer|director|actor,tt0309580|tt3766460|tt0273513|tt0103124
nm0363056,Tara Harish,\N,\N,director|actress|producer,tt0399394|tt0135399|tt0371765|tt0391833
nm0385758,Arjun Hingorani,\N,\N,director|producer|actor,tt0271023|tt0367921|tt1454012|tt0383611
nm0385760,Sunil Hingorani,\N,\N,director|writer,tt0095955|tt0496523|tt0363739
nm0386246,Rajkumar Hirani,1962,\N,writer|editor|director,tt0456144|tt0374887|tt1187043|tt2338151
nm0403826,Nasir Hussain,1926,2002,writer|director|producer,tt0230348|tt0104561|tt0066888|tt0095936
nm0403967,M.F. Hussain,1915,2011,writer|director|art_department,tt1756673|tt0232801|tt0221982|tt0366761
nm0403970,Mohammed Hussain,1918,\N,director|actor|cinematographer,tt0175608|tt0230717|tt0230771|tt0230787
nm0404014,Waris Hussein,1938,\N,director|actor|writer,tt0067601|tt0065085|tt0088951|tt0080212
nm0408371,Shafi Inamdar,1945,1996,actor|director|writer,tt0294230|tt0099652|tt0135666|tt0286705
nm0409790,Honey Irani,1955,\N,writer|actress|assistant_director,tt0250483|tt0254481|tt0234000|tt0102258
nm0409791,Indra Kumar,\N,\N,director|producer|actor,tt0845448|tt0099429|tt0461323|tt0114230
nm0410870,B.R. Ishara,1934,2012,director|writer|assistant_director,tt0230313|tt0230607|tt0231204|tt0230389
nm0411185,Yogesh Ishwar,\N,\N,writer|assistant_director|producer,tt0315642|tt2503954|tt3876876|tt0254927
nm0411186,Ishwarlal,1911,1969,actor|director|producer,tt0230410|tt0175785|tt0230700|tt0231732
nm0411539,Puneet Issar,1959,\N,actor|director|writer,tt1504687|tt0158417|tt0297416|tt0415003
nm0411541,Sudesh Issar,\N,\N,director|assistant_director|actor,tt0091312|tt0482673|tt0359534|tt0055949
nm0412465,James Ivory,1928,\N,director|writer|producer,tt5726616|tt0091867|tt0104454|tt0107943
nm0415514,Rumi Jaffery,\N,\N,writer|actor|director,tt0284328|tt0476550|tt0118673|tt0119285
nm0415556,Jagdeep,1939,\N,actor|music_department|soundtrack,tt0213500|tt0073707|tt0109117|tt0096140
nm0415833,Jainendra Jain,\N,\N,writer|director|music_department,tt0121352|tt0078204|tt0374271|tt0359492
nm0416225,Jambulingam,\N,\N,director|make_up_department|writer,tt3516088|tt0175448|tt0389178|tt0290783
nm0417562,Talat Jani,\N,\N,director|assistant_director|writer,tt0809515|tt10116026|tt0193449|tt0173301
nm0419365,Nandlal Jaswantlal,1907,1961,director|producer,tt0139583|tt0045506|tt0048410|tt0230384
nm0422551,Piyush Jha,\N,\N,director|writer|actor,tt0198364|tt1241334|tt1278447|tt0388181
nm0422552,Prakash Jha,1952,\N,director|producer|writer,tt1291465|tt0373856|tt0451631|tt0119720
nm0422559,Raghunath Jhalani,1933,\N,director|assistant_director|writer,tt0069711|tt0229952|tt0230028|tt0077200
nm0422689,Jijo Punnoose,\N,\N,producer|director|assistant_director,tt10345546|tt0215023|tt0318122|tt0280968
nm0423656,Joginder Shelly,\N,2009,actor|director|miscellaneous,tt0481897|tt1235441|tt0158356|tt1176126
nm0423660,Vasant Joglekar,1914,1993,director|producer|actor,tt0230176|tt0230418|tt0230213|tt0056805
nm0424102,I.S. Johar,1920,1984,actor|writer|director,tt0077413|tt0231592|tt0154685|tt0056172
nm0424103,Karan Johar,1972,\N,producer|actor|writer,tt0347304|tt0172684|tt1188996|tt0248126
nm0430782,Joshiy,\N,\N,director,tt0292142|tt0249364|tt0246809|tt0928191
nm0430799,Madan Joshi,\N,\N,writer|actor|director,tt0069711|tt0099929|tt0071541|tt0451614
