imdb_id,directors,writers
tt0089582,nm1945271,nm1865933|nm0434318
tt0089599,nm0576559,nm1089924|nm1195250|nm0576559|nm3778632
tt0089610,nm0052677,\N
tt0089678,nm0788906,nm0347899
tt0089952,nm0304356,nm0080432|nm0430799|nm1661901
tt0089959,nm0899649,\N
tt0090138,nm0159148,nm3358910|nm1338448|nm0667948|nm0713592
tt0090202,nm0070867,nm0070867|nm0952067
tt0090358,nm0706800,nm1129275|nm0706800|nm0787022
tt0090575,nm0080180,nm0080180|nm1493315|nm0713592
tt0090577,nm0695162,nm0080432|nm0713592
tt0090581,nm0619050,\N
tt0090611,nm0220823,nm2016848|nm0707274|nm0795652|nm0796503
tt0090812,nm0154113,nm0154113|nm0576488|nm2298986
tt0090958,nm0851253,\N
tt0091105,nm0784019,nm0097897|nm0154204|nm0784019|nm1597736
tt0091256,nm0347899,nm0315926|nm0347899
tt0091258,nm0593967,nm0445474|nm0713592|nm1351748
tt0091267,nm0619656,\N
tt0091284,nm0451211,nm0430799|nm0795652
tt0091320,nm0451313,nm0451313|nm0713592|nm1138093
tt0091328,nm0007131,nm0080432|nm0007131|nm0434318
tt0091439,nm0039339,nm0592599
tt0091512,nm0052677,nm0795664
tt0091598,nm0080315,nm0451311
tt0091601,nm0539491,nm1221018|nm1174579|nm1221396
tt0091806,nm0714783,\N
tt0092033,nm0474823,nm0474823|nm0713592
tt0092049,nm0025603,nm1066221
tt0092599,nm0438030,nm0445474
tt0092888,nm0052677,nm0795664
tt0093182,nm0576559|nm1150018,nm0025612|nm1195250|nm0576559|nm1402904
tt0093263,nm0002172,nm0430799|nm0795652
tt0093287,nm1377680,nm1088936|nm1714668|nm0214975
tt0093293,nm0660967,nm0659238
tt0093518,nm0002172,\N
tt0093555,nm0474405,\N
tt0093578,nm0001408,nm0015287|nm0451311
tt0093604,nm0849200,nm1136699|nm1221396|nm0620786
tt0093949,nm0025627,nm0025613|nm0080149|nm0765454
tt0094081,nm0070867,nm0952067
tt0094132,nm0080315,nm0762779
tt0094299,nm0851253,\N
tt0094720,nm0463319,nm1261023|nm1105866
tt0094958,nm0451211,nm2128207|nm1532756
tt0094979,nm0583292,nm0557688|nm0386694
tt0095010,nm0619054,\N
tt0095198,nm0220828,nm2016848|nm0434318|nm1031555|nm0707274|nm0795652
tt0095300,nm0707274,nm0434318|nm0707274|nm0795652
tt0095375,nm0463319,\N
tt0095432,nm0474859,\N
tt0095440,nm0851253,nm1351748|nm1295045
tt0095857,nm0576587,nm0438904|nm0576587
tt0095936,nm0451257,nm0403826
tt0095955,nm0385760,nm0451168|nm2963663|nm1178697
tt0096028,nm0619762,nm1195250|nm0619762|nm0850247
tt0096139,nm0052630,nm0434318|nm1001877
tt0096140,nm0415556,nm0415556
tt0096252,nm0151504,nm0151504|nm0659238
tt0096355,nm0451390,\N
tt0096390,nm0007181,\N
tt0096415,nm0052630,nm1088936|nm0408526|nm0434318|nm2517839|nm0664084|nm0664085
tt0096477,nm0244892,nm0244892|nm0244898
tt0096775,nm0122217|nm0122216,nm1668048
tt0096896,nm0244892,nm0244892
tt0096922,nm0802693,nm0430801
tt0097045,nm0007181,nm0133781|nm1628299|nm0442390|nm0765166
tt0097143,nm0080315,nm0762779
tt0097264,nm0899649|nm1543887,nm1221396|nm0899649
tt0097466,nm0576494,nm0445474|nm0796503
tt0097513,nm0595924,nm1196064
tt0097563,nm0782766,nm0796503
tt0097609,nm0576488,\N
tt0097640,nm0004363,\N
tt0097642,nm0044584,nm0080432|nm0434318|nm0464699|nm1339777
tt0097784,nm0836942,\N
tt0097812,nm0025627,nm0015287
tt0097813,nm0714783,\N
tt0097926,nm0576494,nm0244876|nm1105866|nm0795664
tt0098168,nm0007131,nm0007131|nm0445474|nm0451168
tt0098461,nm0802692,nm0795664
tt0098491,nm0220823,nm0451311|nm0795652
tt0098975,nm0315889,nm0592886
tt0098976,nm0092555,\N
tt0098999,nm0002172,nm2832163|nm0434318|nm0765454
tt0099025,nm0474839,\N
tt0099076,nm0080315,nm0762779
tt0099080,nm2577595,nm0006795|nm0796503
tt0099081,nm0782766,nm0434318|nm0759785
tt0099429,nm0409791,nm0442396|nm1065687|nm0659238|nm0661494
tt0099467,nm0631539,nm0221220|nm0631539
tt0099651,nm0436202,\N
tt0099652,nm0764316,nm0011978|nm0996494|nm0222422|nm1122442|nm0764316|nm0795651
tt0099869,nm0052630|nm1769322,nm1338353
tt0099916,nm0802692,\N
tt0099929,nm1442221,nm0430799|nm0795652
tt0099943,nm0004363,nm1174579|nm1226230|nm0434318
tt0100092,nm0002172,nm0451168|nm0542624|nm0759785
tt0100095,nm0054744,nm0013838|nm0054744
