crew_id,name,born_year,death_year,profession,known_for
nm0019425,Haidar Ali,1948,\N,actor|writer|director,tt0449994|tt0121989|tt0298437|tt1629424
nm0019464,Muzaffar Ali,1944,\N,director|writer|producer,tt0083248|tt3826186|tt0149674|tt0150683
nm0019507,Wajid Ali,\N,\N,composer|soundtrack|music_department,tt1620719|tt2077833|tt2112131|tt1954470
nm0023551,Abrar Alvi,1927,2009,writer|actor|director,tt0359496|tt0056436|tt0071811|tt0056379
nm0023863,Aman,\N,\N,writer|actor,tt0054098|tt0067546|tt0156567|tt0378616
nm0024039,Amarjeet,\N,\N,actor|producer|director,tt0083987|tt0225961|tt0274944|tt0275363
nm0025399,Kamal Amrohi,1918,1993,writer|director|music_department,tt0067546|tt0045666|tt0152148|tt0041619
nm0025569,Santosh Anand,\N,\N,music_department|soundtrack|writer,tt0072100|tt0234054|tt0360051|tt0423313
nm0025607,Anand Raj Anand,\N,\N,composer|soundtrack|music_department,tt0294662|tt0327679|tt1228707|tt1629260
nm0025608,Chetan Anand,1921,1997,director|writer|actor,tt0154942|tt0154749|tt0154565|tt0140784
nm0025612,Gul Anand,\N,\N,producer|writer,tt0093182|tt0093293|tt3765712|tt0357710
nm0025613,Inder Raj Anand,\N,1987,writer|director,tt0058547|tt0058467|tt0049041|tt0052560
nm0025627,Tinnu Anand,1953,\N,actor|director|writer,tt1166100|tt0093949|tt1620719|tt0082594
nm0025628,Uma Anand,\N,\N,actress|writer,tt0154942|tt0047561
nm0025629,Vijay Anand,1934,2004,writer|actor|director,tt0059246|tt0154685|tt0155088|tt0154265
nm0025805,Rajiv Anchal,\N,\N,director|writer|art_director,tt0415943|tt0282843|tt0372171|tt0353616
nm0030116,Anjaan,1930,1997,music_department|soundtrack|writer,tt0461936|tt1454012|tt0073104|tt0960144
nm0031686,Faaiz Anwar,\N,\N,music_department|soundtrack|producer,tt0286416|tt1620719|tt1093370|tt0343048
nm0031967,Aparna Sen,1945,\N,actress|director|writer,tt0329393|tt0249866|tt0081968|tt1620620
nm0037025,Sudha Arora,\N,\N,writer,tt0280465
nm0038010,Arudra,1925,1998,writer|music_department|soundtrack,tt0155567|tt0262444|tt0061650|tt0246286
nm0038973,Mohinder Ashish,\N,\N,writer|editor,tt0110105|tt0104927
nm0039339,K. Asif,1922,1971,director|producer|writer,tt0091439|tt0133014|tt0054098|tt0037174
nm0039724,Apurva Asrani,\N,\N,editor|writer|director,tt0195231|tt6405126|tt0388315|tt0271197
nm0041928,Joy Augustine,1964,\N,writer|director|producer,tt3720320|tt0285319|tt0172509|tt0117878
nm0042341,Carl Austin,1968,\N,writer|actor,tt1038915|tt6395782|tt0119357|tt0396476
nm0044340,Kaifi Azmi,1919,2002,music_department|soundtrack|writer,tt0058270|tt0064915|tt0073034|tt0414506
nm0045116,Baby,\N,\N,director|writer|producer,tt0246046|tt0333052|tt0334083|tt0279393
nm0045962,Shakeel Badayuni,1916,1970,music_department|soundtrack|writer,tt0054910|tt0055783|tt0146791|tt0266765
nm0047072,Shaukat Baig,\N,\N,writer|assistant_director|actor,tt2801992|tt1039348|tt0126234|tt0432469
nm0047983,Azm Bazidpuri,\N,\N,writer,tt0038052|tt0048756|tt0130989|tt0137459
nm0048802,Noel S. Baker,\N,\N,writer|miscellaneous|actor,tt0481257|tt1736552|tt4341996|tt0116488
nm0049244,Anand Bakshi,1930,2002,music_department|soundtrack|writer,tt0112870|tt0213890|tt0152836|tt0073707
nm0049250,Shanti Prakash Bakshi,1925,1988,director|writer,tt0152509|tt0154999|tt0154206|tt0154913
nm0049335,K. Balachander,1930,2014,director|writer|producer,tt0155124|tt0155256|tt0082314|tt0154159
nm0049380,Balaiah M.,\N,\N,actor|writer|producer,tt0269079|tt0246130|tt0779753|tt1865426
nm0050503,S.K. Kalla,\N,\N,writer,tt0046703|tt0276155
nm0051779,Saradindu Bandopadhyay,1899,1970,writer,tt0061474|tt1073122|tt3447364|tt7605494
nm0051808,Bibhutibhushan Bandyopadhyay,1894,1950,writer,tt0066758|tt0052572|tt0048473|tt0237254
nm0051841,Partha Banerjee,\N,\N,writer|miscellaneous,tt0087868|tt0137925|tt0150260|tt0366993
nm0051855,Tarashankar Banerjee,1898,1971,writer|music_department|director,tt0051792|tt0048536|tt0055411|tt0052559
nm0052284,Bhushan Banmali,\N,\N,writer|music_department|actor,tt0178186|tt0135666|tt0440194|tt0151511
nm0054744,Sooraj R. Barjatya,1965,\N,producer|writer|director,tt0100095|tt3595298|tt0494290|tt0110076
nm0059395,Jahnu Barua,1952,\N,director|writer|producer,tt0399254|tt0454504|tt0093136|tt0113311
nm0060019,Krishna Basrur,\N,\N,writer|assistant_director|actor,tt0073458|tt0078030|tt0088335|tt0110449
nm0062614,Harry Baweja,\N,\N,producer|director|writer,tt0481241|tt0779768|tt0364621|tt0490170
nm0062620,Gulshan Bawra,1937,2009,music_department|actor|soundtrack,tt0362283|tt0286672|tt0146335|tt0070947
nm0063357,Anees Bazmee,\N,\N,writer|director|assistant_director,tt1146325|tt0488798|tt1708532|tt0451833
nm0065991,Vishram Bedekar,1906,1998,director|writer|producer,tt0362070|tt0156128|tt0037209|tt0133188
nm0066066,Narendra Bedi,1937,1982,director|writer|miscellaneous,tt0455070|tt0155846|tt0075632|tt0071205
nm0066074,Rajinder Singh Bedi,1915,1984,writer|director|producer,tt0059445|tt0137455|tt0175908|tt0050665
nm0070865,Dev Benegal,1960,\N,director|writer|producer,tt3366346|tt1190894|tt0215196|tt0109732
nm0070867,Shyam Benegal,1934,\N,director|writer|producer,tt0090202|tt0071145|tt0075747|tt0077783
nm0073026,David Benullo,\N,\N,assistant_director|writer|director,tt1562871|tt0327437|tt7625818|tt0462028
nm0074488,Paul Mayeda Berges,1968,\N,writer|producer|assistant_director,tt0361411|tt0197096|tt0401711|tt0286499
nm0077522,D.P. Berry,\N,\N,miscellaneous|writer,tt0139108|tt0058921|tt0147811
nm0080139,Abhiram Bhadkamkar,\N,\N,writer|actor|director,tt2633660|tt1594964|tt9670894|tt0833482
nm0080149,Jaya Bachchan,1948,\N,actress|producer|writer,tt0073707|tt0347304|tt0248126|tt0248012
nm0080157,Devika Bhagat,1979,\N,writer|assistant_director|director,tt2176013|tt2951576|tt0372183|tt10763268
nm0080173,Master Bhagwan,1913,2002,actor|director|writer,tt0137349|tt1309415|tt0155517|tt0155541
nm0080180,Bhagyaraj,1953,\N,actor|writer|director,tt0155927|tt0090575|tt0117099|tt0109116
nm0080191,Lekhraj Bhakri,\N,1976,director|writer|producer,tt0385894|tt0414430|tt0414506|tt0355716
nm0080192,Mohan Bhakri,\N,\N,director|writer|producer,tt0381324|tt0454485|tt0363740|tt0440530
nm0080209,Manu Bhandari,1931,\N,writer,tt0242838|tt0152720|tt0072064
nm0080220,Sanjay Leela Bhansali,1963,\N,producer|director|writer,tt0150992|tt0375611|tt3735246|tt0238936
nm0080235,Vishal Bhardwaj,\N,\N,composer|soundtrack|writer,tt1274295|tt4934950|tt3390572|tt0488414
nm0080238,Tanikella Bharani,\N,\N,actor|writer|director,tt2742164|tt2631186|tt4849438|tt5306972
nm0080250,Dharmvir Bharati,\N,\N,writer,tt0108256|tt7000672
nm0080257,Roshanlal Bhardwaj,\N,\N,writer|assistant_director|director,tt0231155|tt0397738|tt1508237|tt6138222
nm0080266,Raj Bharti,\N,\N,actor|writer,tt0246879|tt0215517|tt0231475|tt0151466
nm0080269,Bhasa,\N,\N,writer,tt0112694|tt0088335
nm0080278,Vijay K. Bhaskar,\N,\N,director|writer,tt0355742|tt0928152|tt1018698|tt0457391
nm0080307,Ban Bhatt,\N,\N,writer,tt0146645
nm0080315,Mahesh Bhatt,1948,\N,producer|director|writer,tt0307873|tt0088031|tt0083578|tt0211126
nm0080324,Pooja Bhatt,1972,\N,actress|producer|director,tt0205189|tt0156891|tt0399942|tt0156985
nm0080325,Pravin Bhatt,\N,\N,cinematographer|director|writer,tt0156985|tt0448454|tt0149857|tt0978627
nm0080327,Robin Bhatt,\N,\N,writer|assistant_director|actor,tt0106333|tt2112124|tt0488414|tt0254481
nm0080333,Vikram Bhatt,1969,\N,writer|director|producer,tt1301698|tt0190419|tt3848938|tt0307873
nm0080345,Basu Bhattacharya,1934,1997,director|producer|writer,tt0156258|tt0061072|tt0156290|tt0079938
nm0080346,Bijon Bhattacharya,1917,1978,actor|writer|music_department,tt0056537|tt0038475|tt0048410|tt0046304
nm0080358,Moni Bhattacharjee,\N,\N,director|assistant_director|miscellaneous,tt0349634|tt0062692|tt0054430|tt0057332
nm0080360,R. Bhattacharya,\N,\N,director|producer|writer,tt0247291|tt0351354|tt2769462|tt0378820
nm0080405,Bhimsain,1936,2018,director|producer|writer,tt0156534|tt0150718|tt6998554|tt3295870
nm0080406,A. Bhimsingh,1924,1978,director|writer|editorial_department,tt0156879|tt0156651|tt0059354|tt0063533
nm0080418,Asad Bhopali,\N,\N,music_department|soundtrack|writer,tt0100095|tt0357926|tt0158314|tt0154189
nm0080432,Sachin Bhowmick,1930,2011,writer|director|miscellaneous,tt0113526|tt0254481|tt0066888|tt0147925
nm0080445,Bharat Bhushan,1920,1992,actor|writer|producer,tt0137958|tt0157037|tt0130731|tt0368239
nm0081974,J.K. Bihari,\N,\N,miscellaneous|director|assistant_director,tt0168516|tt0359473|tt0359076|tt0362766
nm0081980,S.H. Bihari,\N,\N,music_department|soundtrack|writer,tt1587430|tt0177486|tt0359546|tt0361793
nm0083208,Apurba Kishore Bir,\N,\N,cinematographer|writer|director,tt1431288|tt0177481|tt1435530|tt0071083
nm0084259,Lalchand Bismil,\N,\N,writer,tt0045529|tt0243146|tt0275651
nm0092169,Sunil Bohra,\N,\N,producer|writer|director,tt2181831|tt6986710|tt1694542|tt1954470
nm0092555,K.C. Bokadia,\N,\N,director|producer|writer,tt0172704|tt1920986|tt0251346|tt0395672
nm0094037,Ruskin Bond,1934,\N,writer|actor,tt0077783|tt1629376|tt0457802|tt9549012
nm0097894,Ranjan Bose,1927,\N,writer|director,tt0247291|tt0079236|tt0432215|tt0410134
nm0097897,Samaresh Basu,1924,1988,writer|music_department,tt0087868|tt0290448|tt1397496|tt7609134
nm0097899,Satyen Bose,1916,1993,director|writer|producer,tt0147036|tt0146645|tt0156342|tt0156923
nm0101555,Shabbir Boxwala,\N,\N,producer|writer|production_designer,tt1179781|tt0119239|tt0110546|tt0285958
nm0103932,Emil Braginskiy,1921,1998,writer|actor,tt0055468|tt0314827|tt0060161|tt0076727
nm0109279,Brij,1933,1990,director|producer|miscellaneous,tt0158331|tt0158375|tt0158314|tt0061206
nm0111576,Charlotte Brontë,1816,1855,writer,tt0036969|tt1229822|tt0009831|tt3010252
nm0111941,David Brooks,\N,\N,actor|assistant_director|writer,tt0839742|tt0086734|tt0109546|tt0118882
nm0118406,Pearl S. Buck,1892,1973,writer|actress|producer,tt0189391|tt0059246|tt0047756|tt0028944
nm0125223,Hameed Butt,\N,\N,writer|actor|director,tt0048410|tt0357736|tt0045506|tt0154106
nm0133781,Kamna Chandra,\N,\N,writer,tt0084532|tt0097045|tt0109010|tt0286505
nm0141033,Willard Carroll,1955,\N,producer|writer|director,tt0284334|tt0329354|tt0092695|tt0145734
nm0144141,J.S. Casshyap,\N,\N,writer|actor|director,tt0134301|tt0057362|tt0027256|tt0139457
nm0147203,John Cawas,1910,1993,actor|writer|director,tt0032395|tt0451805|tt0242832|tt0390654
nm0149446,Gurinder Chadha,1960,\N,writer|producer|director,tt0106408|tt0197096|tt0286499|tt0963743
nm0149810,Amiya Chakrabarty,1912,1957,director|writer|producer,tt0044527|tt0157524|tt0146266|tt0130489
nm0149832,Aluri Chakrapani,\N,1975,writer|producer|director,tt0157970|tt0262455|tt0263191|tt0156073
nm0149835,J.D. Chakravarthi,\N,\N,actor|director|writer,tt0195231|tt0314008|tt0471646|tt1612022
nm0151274,Chand,\N,\N,director|actor|writer,tt0368243|tt0358138|tt0355374|tt3113910
nm0151300,Krishan Chander,1914,1977,writer|music_department,tt0060659|tt0351714|tt0247502|tt0236210
nm0151305,Ajay Chandhok,\N,\N,assistant_director|director|miscellaneous,tt0438894|tt1363363|tt4512230|tt0476819
nm0151504,N. Chandra,1952,\N,director|writer|editor,tt1002963|tt0287111|tt0306855|tt0096252
nm0151511,Tanuja Chandra,\N,\N,director|writer|actress,tt7399470|tt0332766|tt0823261|tt0118983
nm0151512,Vikram Chandra,\N,\N,writer|script_department,tt0109010|tt1134965|tt6077448|tt0248185
nm0151521,Chandrakant,1929,\N,director|writer|producer,tt0157342|tt0157845|tt0157959|tt0157843
nm0151522,Chandrakant,\N,\N,miscellaneous|camera_department|costume_department,tt0156659|tt0073707|tt0115042|tt0246286
nm0151546,S.A. Chandrashekhar,\N,\N,director|writer|actor,tt1192385|tt6823034|tt1326149|tt0319583
nm0154113,Basu Chatterjee,1930,\N,director|writer|producer,tt0064935|tt0079364|tt0072064|tt0152720
nm0154117,Binoy Chatterjee,\N,\N,writer|director,tt0055411|tt0148523|tt0367927|tt0215225
nm0154123,Dhruva Chatterjee,\N,\N,writer,tt0271023|tt0175530|tt0154695|tt0232960
nm0154133,Keka Chatterjee,\N,\N,writer|director|costume_designer,tt0157540|tt0157917|tt0369746|tt0068794
nm0154158,Saratchandra Chatterjee,1876,1938,writer,tt0259211|tt0152720|tt0238936|tt1327035
nm0154204,Mohit Chatterjee,\N,\N,writer|miscellaneous|music_department,tt4934950|tt0076492|tt1744588|tt0078057
nm0154269,Anil Chaudhary,\N,\N,actor|director|writer,tt7139504|tt1852179|tt0240849|tt2962230
nm0155009,Anton Chekhov,1860,1904,writer|actor|miscellaneous,tt9190728|tt0065128|tt2758880|tt0037325
nm0155027,Sanjay Chhel,\N,\N,writer|music_department|director,tt1132595|tt0120540|tt0220597|tt0807758
nm0159147,Aditya Chopra,1971,\N,producer|writer|director,tt0420332|tt0213890|tt1182937|tt0112870
nm0159148,B.R. Chopra,1914,2008,producer|director|writer,tt0057120|tt0053985|tt0337578|tt0052154
nm0159158,Pamela Chopra,\N,\N,music_department|soundtrack|producer,tt0213890|tt0118983|tt0420332|tt0112870
nm0159162,Ravi Chopra,1946,2014,director|producer|writer,tt0158534|tt0158451|tt0337578|tt0158694
nm0159167,Uday Chopra,1973,\N,producer|actor|assistant_director,tt0112870|tt0213890|tt1351224|tt0441048
nm0159342,R.S. Choudhury,1903,1972,director|writer|production_designer,tt0158626|tt0044318|tt0158705|tt0158823
nm0159543,Ramapada Chowdhury,1922,\N,writer,tt0097268|tt0233364|tt0345177|tt0084198
nm0161032,Ismat Chughtai,1915,1991,writer|director|producer,tt0052220|tt0042207|tt1058549|tt0073034
nm0161152,Oxide Chun Pang,1965,\N,director|writer|producer,tt0325655|tt0263101|tt0425430|tt0498311
nm0172468,Larry Collins,1929,2005,writer,tt1641395|tt0109768|tt0060814|tt4977530
nm0179740,Marie Corelli,1855,1924,writer,tt0012317|tt0013800|tt0167452|tt0017419
nm0185345,Greg Coyes,\N,\N,director|writer|producer,tt0243583|tt0276360|tt0088591|tt0235968
nm0186118,Mildred Cram,1889,1985,writer|miscellaneous,tt0050105|tt0031593|tt0017439|tt0022625
nm0188743,A.J. Cronin,1896,1981,writer,tt0029995|tt0034184|tt0051806|tt0031976
nm0195991,Madhusudhana Rao D.,1917,2006,producer|writer,tt0266479|tt0261357|tt0269061|tt0234195
nm0196375,Parvin Dabas,1974,\N,actor|director|writer,tt0265343|tt1188996|tt0466460|tt1630282
nm0196400,Snehal Dabi,\N,\N,actor|writer,tt0488798|tt1280558|tt0195231|tt0321067
nm0196882,Raaj Kumar Dahima,\N,\N,assistant_director|writer,tt0227194|tt0120540|tt0222270|tt0110222
nm0198400,Jaywant Dalvi,\N,\N,writer,tt0080514|tt0240849|tt0832466
nm0201565,Darpan,\N,\N,actor|producer|writer,tt0341563|tt0215827|tt1620954|tt1442234
nm0201710,Dharmesh Darshan,\N,\N,writer|director|music_department,tt0117437|tt0232079|tt0255111|tt0107440
nm0201713,Suneel Darshan,\N,\N,producer|director|writer,tt0267252|tt0338477|tt0444767|tt0845535
nm0201836,K.S. Daryani,\N,\N,writer|producer,tt0158953|tt0040387|tt0158592|tt0129422
nm0201875,Bhagwan Das Varma,\N,\N,director|writer|producer,tt0134300|tt0130489|tt0045524|tt0374137
nm0201903,Nandita Das,1969,\N,actress|animation_department|writer,tt0280465|tt1263679|tt0312859|tt6923462
nm0201927,Narayana Rao Dasari,1947,2017,director|writer|actor,tt0251834|tt0280845|tt0262781|tt0262447
nm0214358,Deepshika Nagpal,1977,\N,actress|writer|producer,tt1047519|tt0136352|tt0482246|tt1826051
nm0214975,Krishna Dehlvi,\N,\N,writer,tt0093287
nm0219964,Shrabani Deodhar,\N,\N,director|writer|producer,tt10011102|tt0473684|tt10209164|tt0267928
nm0220809,Anita Desai,1937,\N,writer,tt0495673|tt0459407|tt0413575|tt0107199
nm0220828,Manmohan Desai,1937,1994,director|producer|writer,tt0213773|tt0082797|tt0089552|tt0213524
nm0220849,Vikas Desai,\N,\N,actor|director|writer,tt1661585|tt0259571|tt0259583|tt0259322
nm0221218,Makrand Deshpande,1958,\N,actor|writer|music_department,tt0449965|tt0296574|tt2609468|tt0368669
nm0221220,Shashi Deshpande,\N,\N,actor|writer,tt0099467|tt5584612
nm0221880,Vijayadan Detha,1926,2013,writer,tt0230622|tt0070009|tt0451850|tt0155606
nm0222143,Mukul Dev,1970,\N,actor|writer,tt2801992|tt6383652|tt6978268|tt8062474
nm0222147,Vasant Dev,\N,\N,music_department|writer,tt0360050|tt0088335|tt0383875|tt0085178
nm0222150,Prabhu Deva,\N,\N,actor|miscellaneous|director,tt0323013|tt2077833|tt1451409|tt1084972
nm0222218,Sandow M.M.A. Chinnappa Devar,\N,\N,producer|writer|actor,tt0374039|tt0272118|tt8908240|tt0157841
nm0222422,Vijay Deveshwar,\N,\N,writer|miscellaneous|actor,tt0218533|tt0099652|tt0116407|tt0109117
nm0222426,Ajay Devgn,1969,\N,actor|producer|music_department,tt0488414|tt3771536|tt0319736|tt1395054
nm0222428,Veeru Devgan,\N,2019,stunts|actor|assistant_director,tt0207513|tt0093578|tt0267617|tt0107986
nm0222743,Dev Kishan,\N,\N,actor|writer|music_department,tt0155846|tt0055783|tt0156043|tt0259877
nm0223047,Ravi Dewan,\N,\N,stunts|director|writer,tt0130348|tt0135140|tt0338721|tt0449994
nm0223050,Ajit Dewani,\N,\N,director|writer,tt0271138|tt0398360|tt0482240
nm0223354,Nirmal Dey,1913,\N,director|writer|cinematographer,tt0044397|tt0306065|tt0046845|tt0046304
nm0223475,Girish Dhamija,\N,\N,writer|miscellaneous|director,tt0453978|tt2023645|tt0495032|tt0827714
nm0223485,Guddu Dhanoa,\N,\N,director|producer|writer,tt0225029|tt0252277|tt0286936|tt0476762
nm0223522,David Dhawan,\N,\N,director|editor|writer,tt0207341|tt0106204|tt0807758|tt0418362
nm0223526,Sabrina Dhawan,\N,\N,writer|producer|director,tt0265343|tt1345777|tt0352794|tt1274295
nm0223532,Pankaj Dheer,\N,\N,actor|director|writer,tt0275620|tt4778746|tt0158417|tt0110105
nm0223585,Farrukh Dhondy,1944,\N,writer|producer|script_department,tt0088623|tt0443619|tt4763064|tt1376240
nm0223606,Tigmanshu Dhulia,\N,\N,director|actor|writer,tt1954470|tt0362696|tt2362778|tt1620933
nm0228738,Jay Dixit,\N,\N,writer,tt0108144|tt0499041|tt0113913|tt0112738
nm0233561,Cliff Dorfman,\N,\N,writer|actor|producer,tt0829435|tt1291584|tt0289765|tt0387199
nm0234391,Sunil Doshi,\N,\N,producer|executive|writer,tt1948640|tt1014672|tt0781434|tt8223250
nm0234502,Fyodor Dostoevsky,1821,1881,writer|soundtrack,tt9680386|tt1825157|tt2558242|tt3195152
nm0238898,Daphne Du Maurier,1907,1989,writer,tt0056869|tt2235695|tt0069995|tt0032976
nm0239234,Pandit S.R. Dube,\N,\N,writer,tt0044769
nm0239270,Satyadev Dubey,1936,2011,writer|actor|director,tt0295599|tt0077783|tt0075747|tt0080322
nm0240882,Sanjeev Duggal,\N,\N,writer|actor,tt0232079|tt0114236|tt0172188|tt0377340
nm0244335,Iqbal Durrani,\N,\N,writer|actor|director,tt0112485|tt0446159|tt0286620|tt0110254
nm0244870,Guru Dutt,1925,1964,actor|director|producer,tt0045529|tt0043307|tt0056436|tt0050870
nm0244876,Mukul Dutt,\N,\N,music_department|director|assistant_director,tt0178184|tt0177499|tt0069152|tt0298267
nm0244884,Utpal Dutt,1929,1993,actor|director|writer,tt0079221|tt0214519|tt0082796|tt0064086
nm0244887,Bimal Dutta,\N,\N,writer|director|producer,tt0978626|tt0448691|tt0244443|tt0066763
nm0244892,J.P. Dutta,1949,\N,director|writer|producer,tt0485522|tt0347416|tt0250690|tt0118751
nm0244898,O.P. Dutta,1921,2012,writer|director,tt0250690|tt0118751|tt0215034|tt0089201
nm0253913,Mahesh Elkunchwar,\N,\N,writer|actor,tt0248289|tt0087417|tt0396963|tt0080322
nm0259847,James Erskine,\N,\N,director|producer|writer,tt2557258|tt0364151|tt0398037|tt6003528
nm0265752,Latif Faiziyev,1929,1994,director|writer|actor,tt0152509|tt0170416|tt0170644|tt0170456
nm0269463,Jon Favreau,1966,\N,producer|actor|director,tt0117802|tt4154796|tt2883512|tt0371746
nm0269778,Fazil,1953,\N,writer|director|actor,tt0215066|tt0400764|tt0214853|tt0214915
nm0269806,Nida Fazli,1938,2016,music_department|writer|soundtrack,tt0364303|tt0466580|tt0266333|tt0242314
nm0281306,Gustave Flaubert,1821,1880,writer,tt0041615|tt10604724|tt0199735|tt0102368
nm0304356,Anil Ganguly,1933,2016,director|writer|producer,tt0165972|tt0290179|tt1459912|tt0363583
nm0304369,Samir Ganguly,\N,\N,director|assistant_director|writer,tt0067742|tt0381319|tt0306065|tt0293081
nm0304370,Upendranath Ganguly,\N,\N,writer,tt0150101|tt0244948|tt0867144|tt0072783
nm0307257,Brian Garfield,1939,2018,writer|producer,tt0071402|tt0804461|tt1137450|tt0080889
nm0310170,Vrajendra Gaur,\N,\N,writer|director|music_department,tt0367695|tt0150417|tt0424215|tt0230771
nm0310216,Desh Gautam,\N,\N,director|miscellaneous|assistant_director,tt0408733|tt0363732|tt0122162|tt0363196
nm0310217,Jagdish Gautam,\N,\N,director|writer,tt0388824|tt0133188|tt0271009|tt2690632
